zip,death_rates,death_metric,ed_rates,ed_metric,hosp_rates,hosp_metric,pres_rates,pres_metric,drug_count,drug_sq_mileage,drug_density,hc_count,hc_sq_mileage,hc_density
94102,94.85,3.84313937,285.88,11.58330715,21.66,0.877621495,412.38,16.70884358,9,0.648289193,13.88269325,7,0.648289193,10.79765031
94103,60.02,6.199547827,285.97,29.53823212,33.7,3.480919057,392.68,40.56045386,8,1.342787766,5.957754605,5,1.342787766,3.723596628
94104,156.97,6.384197293,1525.1,62.02802632,0,0,1390.63,56.55893662,2,0.081342897,24.58727273,,,
94105,10.92,0.634567491,243.68,14.16038519,0,0,368.31,21.40270629,6,0.348663457,17.20857143,,,
94107,7.02,8.554716541,40.11,48.87887186,1.41,1.718255032,268.74,327.4920973,1,2.43724118,0.410299977,1,2.43724118,0.410299977
94108,21.45,1.384262419,76.01,4.905258112,15.09,0.973823772,137.6,8.879930485,3,0.258137514,11.6217126,1,0.258137514,3.873904199
94109,20.81,2.519398187,113.8,13.77739134,17.43,2.110192715,297.57,36.02582021,7,1.210667077,5.781936366,3,1.210667077,2.477972728
94110,21.2,3.883047742,41.87,7.66901929,8.23,1.507428439,290.76,53.2563661,5,2.381114181,2.099857302,8,2.381114181,3.359771683
94111,0,0,455.9,108.3347703,0,0,287.25,68.258747,2,0.475256724,4.208251874,,,
94112,10.29,5.673629126,21.99,12.12469431,10.4,5.734280166,347.61,191.6628008,4,3.308238557,1.209102648,2,3.308238557,0.604551324
94114,2.35,0.401345839,23.11,3.94685206,16.02,2.735983124,303,51.74799542,5,1.366283707,3.659562046,3,1.366283707,2.195737228
94115,8.29,1.55298299,30.24,5.664922269,10.05,1.88268746,395.73,74.13292624,2,1.123992514,1.779371282,4,1.123992514,3.558742564
94116,0,0,10.88,5.620989638,0,0,174.9,90.35947498,3,2.583175385,1.16136133,2,2.583175385,0.774240886
94117,14.19,3.288274423,41.84,9.695659047,13.7,3.174725835,414.99,96.16638498,2,1.390390876,1.438444421,4,1.390390876,2.876888843
94118,7.85,1.258906046,22.56,3.617951643,1.46,0.234140488,223.89,35.90528339,6,1.764072167,3.401221398,5,1.764072167,2.834351165
94121,0,0,44.82,44.07277687,6.1,5.998302966,203.1,199.7139889,2,2.949985067,0.677969534,1,2.949985067,0.338984767
94122,3.44,2.737090717,16.7,13.28762063,7.16,5.696967887,196.56,156.3960905,2,3.182663625,0.628404455,2,3.182663625,0.628404455
94123,4.57,2.307364398,14.04,7.088708129,7.63,3.852339247,256.03,129.2679446,2,1.009787483,1.980614767,,,
94124,23.33,38.90110096,71.07,118.5041254,20.2,33.68205055,478.06,797.1307468,1,5.002284734,0.199908652,2,5.002284734,0.399817305
94127,11.35,7.112934295,8.54,5.351934703,2.4,1.504056591,246.43,154.4352774,2,1.88007074,1.06378976,1,1.88007074,0.53189488
94131,8.02,17.11697607,17.62,37.60612448,3.39,7.235230532,256.47,547.3804055,1,2.134286291,0.468540703,,,
94132,6.12,12.42898526,11.04,22.42091458,10.86,22.05535619,223.75,454.4093874,2,4.061759885,0.492397398,,,
94133,0,0,27.05,1.80884115,5.76,0.385172829,195.91,13.10055711,4,0.668702828,5.981730346,6,0.668702828,8.972595519
94134,11.39,6.814976344,37.04,22.16213554,6.22,3.721611313,226.79,135.6952138,1,2.393319172,0.41782977,3,2.393319172,1.253489311
